# Oscilloscope file ./20201025_015218.bin
# Channel 2
Time / s;Voltage / V
102.5;0
102.75;0.002
103;0.008
103.25;-0.004
103.5;0
103.75;0.002
104;0.008
104.25;-0.004
104.5;0.002
104.75;0
105;0.008
105.25;-0.004
105.5;0.002
105.75;0.002
106;0.008
106.25;-0.006
106.5;0
106.75;0.002
107;0.008
107.25;-0.006
107.5;0.004
107.75;0.002
108;0.008
108.25;-0.004
108.5;0.002
108.75;0.002
109;0.008
109.25;-0.004
109.5;0.002
109.75;0.002
110;0.008
110.25;-0.006
110.5;0.002
110.75;0.002
111;0.006
111.25;-0.006
111.5;-0.002
111.75;0.002
112;0.006
112.25;-0.006
112.5;0.002
112.75;0
113;0.008
113.25;-0.004
113.5;0
113.75;-0.002
114;0.006
114.25;-0.006
114.5;-0.002
114.75;-0.002
115;0.008
115.25;-0.006
115.5;0
115.75;-0.002
116;0.006
116.25;-0.006
116.5;0
116.75;0
117;0.006
117.25;-0.006
117.5;-0.002
117.75;0.002
118;0.006
118.25;-0.006
118.5;-0.002
118.75;-0.004
119;0.006
119.25;-0.008
119.5;0
119.75;0
120;0.004
120.25;-0.008
120.5;0
120.75;0.002
121;0.004
121.25;-0.008
121.5;0
121.75;0
122;0.004
122.25;-0.008
122.5;0
122.75;-0.002
123;0.004
123.25;-0.008
123.5;-0.002
123.75;-0.004
124;0.002
124.25;-0.008
124.5;-0.004
124.75;-0.004
125;0.002
125.25;-0.008
125.5;-0.002
125.75;-0.002
126;0.002
126.25;-0.01
126.5;-0.002
126.75;-0.002
127;0.002
127.25;-0.01
127.5;-0.002
127.75;-0.004
128;0.002
128.25;-0.01
128.5;-0.002
128.75;-0.002
129;0
129.25;-0.01
129.5;-0.004
129.75;-0.004
130;0
130.25;-0.012
130.5;-0.004
130.75;-0.004
131;0
131.25;-0.012
131.5;-0.006
131.75;-0.006
132;0
132.25;-0.014
132.5;-0.006
132.75;-0.006
133;-0.002
133.25;-0.014
133.5;-0.008
133.75;-0.008
134;-0.002
134.25;-0.014
134.5;-0.008
134.75;-0.008
135;-0.004
135.25;-0.016
135.5;-0.008
135.75;-0.008
136;-0.004
136.25;-0.016
136.5;-0.01
136.75;-0.01
137;-0.006
137.25;-0.016
137.5;-0.01
137.75;-0.012
138;-0.006
138.25;-0.018
138.5;-0.012
